text,created_time,hashtags,shareCount,mentions,commentCount,playCount,diggCount,collectCount
"Love is in the store.
@lilliehenrietta.",31/01/2025,,13,,3,3754,70,7
The viral loafer but make it ,31/01/2025,,7,,3,5248,52,7
What following your dreams actually looks like…,30/01/2025,,14,,4,2279,38,8
What’s another few minutes when you’re already late? ,29/01/2025,,202,,27,46000,1041,195
Just in case you were wondering… ,28/01/2025,,40,,10,31300,265,15
"A great dress, made even better 

@marksandspencer_nicole  ",28/01/2025,,2,,0,2845,29,2
"Come shopping with Insider, Emma.

@marksandspencer_emmas.
#MyMarks",26/01/2025,mymarks,1,,1,2027,15,1
"Animal print 101 with Insider, Monice.  

@marksandspencer_monice.
#MyMarks",25/01/2025,mymarks,0,,0,2447,26,2
"""Timmy may at rock up to a premier, but I do the whole day!"" - @jimchapman

#MyMarks",22/01/2025,mymarks,0,,2,3207,23,2
"We’ll take one of each, please.
@marksandspencer_nicole.
#MyMarks",21/01/2025,mymarks,3,,0,3087,42,8
"New-in haul and we love ALL of it.

@marksandspencer_em

#MyMarks",20/01/2025,mymarks,2,,1,4792,52,4
"Fresh mountain air calls for fresh 'fits from Goodmove ️
@charlotteillidge.",17/01/2025,,1,,2,3309,22,0
"You heard it here first. Our insider’s reveal their 2025 must-haves.

@marksandspencer_zarah. @marksandspencer_daz.

#MyMarks",17/01/2025,mymarks,1,,0,2915,43,3
"Someone understood the assignment 

@marksandspencer_jodie.
#MyMarks",14/01/2025,mymarks,217,,83,48100,1686,29
"We love this for you…
@hellojodie_.
#MyMarks",14/01/2025,mymarks,845,,20,106700,3081,240
"Honestly, you never regret wearing a bomber jacket.
 
@marksandspencer_daz.
#MyMarks",13/01/2025,mymarks,1,,0,2649,21,2
"This jacket, though 
@marksandspencer_daz.
#MyMarks",10/01/2025,mymarks,2,,2,3139,14,2
"A January reset with Goodmove.
@adeleptty.
#MyMarks",07/01/2025,mymarks,0,,0,3360,22,3
This is your sign to press pause and take a moment for yourself. Live well. Every day.,31/12/2024,,0,,1,4395,39,1
"Stepping into the New Year in style @melvinodoom

#MyMarks",31/12/2024,,0,@melvinodoom,1,2343,32,1
Wishing you all a very Merry Christmas from this lovely lot. ,25/12/2024,,1,,1,3982,51,1
"2024 is the year of the 
@marksandspencer_charlie 

#napkinfolding #napkins",24/12/2024,"napkinfolding, napkins",1,,0,3678,69,32
"We're pleased to announce that Spencer's gift-wrapping service is no longer available 

@marksandspencer_daz 
@marksandspencer_zarah
@wrighty_
@spencermatthews ",23/12/2024,,86,,15,64800,1149,43
"The festive up-do you need to know...
@marksandspencer_zarah
#MyMarks",23/12/2024,mymarks,1,,0,2407,15,3
"Who did it better – Buddy or @wrighty_ and​
@spencermatthews?",22/12/2024,,49,,9,92500,1361,16
"Christmas selfies are out, hilarious, scenic photos with the fam are in…  @holly morris ",21/12/2024,,2,@holly morris,2,2915,27,0
"To get your gifts and outfits in time for Christmas, order by Friday 20 Dec (standard delivery) or Monday 23 Dec (Click & Collect or next-day delivery)
@marksandspencer_zarah
#MyMarks",19/12/2024,mymarks,2,,0,2949,31,1
"Erm, we think otherwise... 

@wrighty_.
@spencermatthews.",18/12/2024,,67,,9,97500,1533,19
"Christmas Day make-up, completed it.
@shana.nyala
#MyMarks",17/12/2024,mymarks,0,,1,2381,20,2
"This way to the dancefloor... Two party looks, double the drama.
@trishnagoklani.
#MyMarks",15/12/2024,mymarks,1,,3,2973,40,6
"Earn star-gifter status with festive finds from Puma, Reebok, HOFF and adidas.",14/12/2024,,0,,1,2678,27,4
"Mark and Spencer take on the two-minute outfit challenge: Christmas edition. 
@wrighty_.@spencermatthews.",13/12/2024,,65,,24,90100,1577,70
"Catch eyes with these bold party-season looks.
@jade_edgington.",13/12/2024,,2,,1,2014,21,2
"The effortless low bun: party edition.
@marksandspencer_zarah.
#MyMarks",10/12/2024,mymarks,2,,0,3266,18,3
"It’s a want, not a need. Get ready with @tia_dewitt.
#MyMarks",09/12/2024,mymarks,0,,2,2313,42,3
"It's always a good hair day with Percy & Reed.
@marksandspencer_zarah
#MyMarks",09/12/2024,mymarks,4,,0,1915,18,0
"Red hot and coming to a party near you.
@thandimaq
#MyMarks",09/12/2024,mymarks,1,,3,1760,24,1
When the shoe *is* the outfit.  ,06/12/2024,,0,,3,3003,14,1
" RUN, don't walk... We've hidden 4x £100 gift cards around Battersea Power Station – home to our brand-new concept store. Explore curated capsule collections of considered pieces and iconic M&S styles.",04/12/2024,,11,,3,3323,33,3
Oops! @wrighty_ and @spencermatthews ,04/12/2024,,4,,3,12900,350,5
"What's in the make-up bag: the Insiders edition. 

@marksandspencer_zarah
@marksandspencer_em

#MyMarks",03/12/2024,mymarks,0,,1,2429,25,4
"Endless fun on set with Mark and Spencer 
@wrighty_.
@spencermatthews.",01/12/2024,,1,,3,3601,41,4
