videoPlayCount,url,hashtags,videoViewCount,videoDuration,commentsCount,mentions,caption,timestamp
,https://www.instagram.com/p/DH_KsfuITQt/,"NEXTHomexGlassette, AD",,,60,,"A curated Spring Edit by NEXT Home x Glassette

A collection made to bring joy to your table ️Whether it’s Floral Dreams with organic vases, The Joyful Table with playful colour pops, or a Springtime Gathering bathed in sunshine, this curation is all about style, texture, and effortless hosting.

Shop the edit via link in bio.

#NEXTHomexGlassette
#AD",2025-04-03T14:00:04.000Z
246998.0,https://www.instagram.com/p/DIBLEAVAr9j/,nextwomens,85802.0,55.007,50,sofynicoledobson,These jeans are going viral for a reason @sofynicoledobson  #nextwomens,2025-04-04T08:43:47.000Z
,https://www.instagram.com/p/DIDgzBItUIS/,nextwomens,,,8,hopemarsh,Levelled up for trench coat szn in an all-new denim twist @hopemarsh  #nextwomens,2025-04-05T07:00:09.000Z
160608.0,https://www.instagram.com/p/DH20LHWAAHy/,,48657.0,23.59,41,esterapawlak,Matching outfits all day everyday with @esterapawlak,2025-03-31T08:10:00.000Z
,https://www.instagram.com/p/DHvBYklRgEj/,,,,10,,Our biggest flex this summer is being the best dressed guest at any event,2025-03-28T08:00:51.000Z
73533.0,https://www.instagram.com/p/DIMVaJ2NWvt/,nextwomens,17222.0,28.64,13,,"Tropical escape or city adventure? You choose the getaway, we’ll bring the style... #nextwomens",2025-04-08T16:47:08.000Z
,https://www.instagram.com/p/DH07AbkRMS4/,nextwomens,,,15,,Did we just find the perfect summer holiday co-ord!?  #nextwomens,2025-03-30T15:00:27.000Z
,https://www.instagram.com/p/DH73RMtxwR7/,nextkids,,,8,,"Colourful, comfy and perfect for every day!  #nextkids",2025-04-02T07:15:25.000Z
164305.0,https://www.instagram.com/p/DIGRbchAr8i/,nextwomens,58063.0,13.907,18,whatgigiwears,We’re calling it ✨ city break chic ✨ @whatgigiwears  #nextwomens,2025-04-06T08:15:21.000Z
,https://www.instagram.com/p/DILjtxdgcgj/,nextwomens,,,4,,Your go-to destination for summering in style. Building your dream new season wardrobe starts here... #nextwomens,2025-04-08T09:29:35.000Z
147437.0,https://www.instagram.com/p/DH0P9VGgaQn/,,48571.0,25.4,7,sineadcrowe,"Happy Mother’s Day This year we’re focusing on the greatest gift of all, quality time! And to anyone that finds today a tricky one, we see you ❤️‍ @sineadcrowe",2025-03-30T08:19:42.000Z
,https://www.instagram.com/p/DHk66EfusJm/,nextwomens,,,3,,Spring plans? We love a halter neck for an effortlessy chic look ✨ #nextwomens,2025-03-24T09:30:42.000Z
